Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform,WQI,Quality
01-01-2020,1.27863909,180.8583307,18.7,19.60304212,4.134453543,13386.59272,49.32302838,0.486289135,6.804971187,0.0,115611.6592,58.71893900750564,Poor
02-01-2020,1.156939401,162.8858307,20.3,5.27,3.901423492,13000.0,40.0,0.38,6.756926832,0.0,110000.0,58.71893900750564,Poor
03-01-2020,1.319860202,187.6295633,17.5,24.13419521,4.209024735,13507.63236,52.22037997,0.519501301,6.82278278,0.0,117363.9803,58.71893900750564,Poor
04-01-2020,1.501091233,215.1428988,17.3,45.64975516,4.551268353,14113.13574,67.2860654,0.687397244,6.896014724,0.2,126252.9743,58.71893900750564,Poor
05-01-2020,1.156248062,163.7680752,17.1,5.27,3.9,13000.0,40.0,0.38,6.758868673,1.0,110000.0,58.71893900750564,Poor
06-01-2020,1.163273574,165.1964209,17.0,5.27,3.904785463,13000.0,40.0,0.38,6.762521546,0.0,110000.0,58.71893900750564,Poor
07-01-2020,1.533392431,221.1115242,16.7,48.73235308,4.605478664,14186.44783,68.8731139,0.706999173,6.911462956,6.1,127278.2252,58.71893900750564,Poor
08-01-2020,1.378910182,198.3590998,18.6,29.89787766,4.309285445,13647.56101,55.30908747,0.557097399,6.850614861,0.0,119333.6585,58.71893900750564,Poor
09-01-2020,1.15,162.9385782,18.7,5.27,3.9,13000.0,40.0,0.38,6.755975792,0.8,110000.0,58.71893900750564,Poor
10-01-2020,1.350945921,195.0716968,18.1,25.90134019,4.25036972,13522.99735,51.99653811,0.521904617,6.841470438,3.6,117459.1465,58.71893900750564,Poor
11-01-2020,1.158882642,166.7492592,16.1,5.27,3.9,13000.0,40.0,0.38,6.765740998,0.8,110000.0,58.71893900750564,Poor
12-01-2020,1.167966883,168.6210503,16.7,5.27,3.9,13000.0,40.0,0.38,6.770520294,5.9,110000.0,58.71893900750564,Poor
13-01-2020,1.3194635,191.8766474,17.7,21.04463155,4.180816494,13366.31942,47.74548998,0.477379813,6.832313925,1.7,115083.1857,58.71893900750564,Poor
14-01-2020,1.15,160.0,18.2,5.27,3.9,13000.0,40.0,0.38,6.75,0.0,110000.0,58.71893900750564,Poor
15-01-2020,1.15,160.0,19.6,5.27,3.9,13000.0,40.0,0.38,6.75,1.7,110000.0,58.71893900750564,Poor
16-01-2020,1.190927404,174.3196391,20.6,5.27,3.925611198,13000.0,40.0,0.38,6.784777151,1.3,110000.0,58.71893900750564,Poor
17-01-2020,1.15,163.1566556,21.2,5.27,3.9,13000.0,40.0,0.38,6.754752001,4.2,110000.0,58.71893900750564,Poor
18-01-2020,1.389777429,205.4027724,20.9,27.37806128,4.295421608,13508.56812,50.65004353,0.514878136,6.867142327,0.5,117034.8885,58.71893900750564,Poor
19-01-2020,1.157684529,171.2481111,21.4,5.27,3.9,13000.0,40.0,0.38,6.775788533,0.0,110000.0,58.71893900750564,Poor
20-01-2020,1.15,160.0,18.4,5.27,3.9,13000.0,40.0,0.38,6.75,0.0,110000.0,58.71893900750564,Poor
21-01-2020,1.65830326,247.7214093,18.4,58.16037487,4.792617202,14355.26367,71.37123426,0.748593575,6.979142125,0.0,129390.3048,58.71893900750564,Poor
22-01-2020,1.333533356,199.7267295,19.4,18.67884514,4.170959246,13227.61981,43.02246136,0.435023473,6.850855976,0.5,112773.3865,58.71893900750564,Poor
23-01-2020,1.406086083,211.350536,20.1,26.86183956,4.304086208,13450.21992,48.42539274,0.496331174,6.881544086,0.4,116012.0518,58.71893900750564,Poor
24-01-2020,1.15,169.4826778,17.9,5.27,3.9,13000.0,40.0,0.38,6.769579477,0.0,110000.0,58.71893900750564,Poor
25-01-2020,1.312601125,198.8689778,17.4,14.55502823,4.11663973,13082.28253,40.0,0.393141507,6.84761777,0.0,110528.6815,58.71893900750564,Poor
26-01-2020,1.458659026,221.5774944,18.2,31.51701548,4.389050817,13552.88488,50.47991928,0.5232668,6.907840552,0.0,117411.6651,58.71893900750564,Poor
27-01-2020,1.221632225,186.8424839,18.1,5.27,3.933478708,13000.0,40.0,0.38,6.814872603,0.0,110000.0,58.71893900750564,Poor
28-01-2020,1.54268202,235.8378985,20.6,40.42938449,4.538131416,13784.71201,55.9131388,0.586522398,6.945177898,8.1,120742.9133,58.71893900750564,Poor
29-01-2020,1.363476542,209.8137095,21.2,18.31964457,4.192179974,13147.57282,40.0,0.409048443,6.87542313,11.4,111332.9073,58.71893900750564,Poor
30-01-2020,1.441673021,222.4182476,20.7,27.08511909,4.335174738,13385.0012,45.54155939,0.474383246,6.908670621,0.0,114783.3215,58.71893900750564,Poor
31-01-2020,1.396418706,216.5233408,19.1,21.02366097,4.243497132,13202.10622,40.77378846,0.423004324,6.892578686,20.1,112051.6545,58.71893900750564,Poor
01-02-2020,2.00026075,293.6166439,18.9,89.22607175,5.102863027,14899.28932,83.00405184,0.893611548,7.064514694,0.5,136967.3518,56.15421186737594,Poor
02-02-2020,1.648874171,241.1843914,18.3,46.23961924,4.416507615,13659.58671,51.80831396,0.548789271,6.922799075,0.0,118692.7234,58.71893900750564,Poor
03-02-2020,1.462206909,213.4651915,17.6,23.00415316,4.042768905,13000.0,40.0,0.38,6.846949478,0.0,110000.0,58.71893900750564,Poor
04-02-2020,1.860833961,273.5452105,19.3,69.9889207,4.780745044,14287.76384,67.09506298,0.721921092,7.005196252,2.2,127840.7687,58.753270192232016,Poor
05-02-2020,1.475125847,215.9799417,20.9,22.83863634,4.028145773,13000.0,40.0,0.38,6.849687961,1.0,110000.0,58.71893900750564,Poor
06-02-2020,1.784423803,262.6704843,20.9,59.07450476,4.595725294,13932.22869,57.77430714,0.621883057,6.972161464,0.0,122519.295,58.71893900750564,Poor
07-02-2020,1.374453555,201.4756092,19.9,8.983873677,3.9,13000.0,40.0,0.38,6.806907418,25.5,110000.0,58.71893900750564,Poor
08-02-2020,1.524859819,224.3419352,18.5,26.1243742,4.061406211,13000.0,40.0,0.38,6.865784086,3.5,110000.0,58.71893900750564,Poor
09-02-2020,1.854344535,274.0746625,19.7,64.74050816,4.666378449,14020.49536,59.30597591,0.644321935,6.996272625,0.8,123672.1246,58.71893900750564,Poor
10-02-2020,1.98749942,294.362457,18.8,79.78355485,4.898015649,14421.89875,69.10927836,0.755060255,7.048210109,0.0,129525.2532,59.03745900187034,Poor
11-02-2020,1.899264775,281.4462704,19.3,68.24662758,4.70871071,14069.85192,60.07304763,0.656595298,7.01157305,0.3,124297.5265,58.795401141635686,Poor
12-02-2020,1.867390213,276.9884503,19.5,63.45996103,4.626194317,13908.71899,55.80645607,0.611127192,6.997461692,0.3,121876.6669,58.71893900750564,Poor
13-02-2020,1.856164052,275.6321484,20.1,61.13843837,4.582620778,13817.09587,53.27447216,0.584948667,6.991591765,0.0,120477.3354,58.71893900750564,Poor
14-02-2020,1.646873821,244.5703972,22.1,35.03685184,4.162442991,13051.37601,40.0,0.38,6.90647869,0.0,110000.0,58.71893900750564,Poor
15-02-2020,1.82512355,271.6437028,21.9,55.42797745,4.478315288,13602.62913,47.42086586,0.523895375,6.976364493,0.0,117217.584,58.71893900750564,Poor
16-02-2020,1.903791699,283.7837346,22.2,63.85752624,4.604713498,13814.65824,52.47120777,0.581997485,7.006400975,10.0,120281.7947,58.76122969224416,Poor
17-02-2020,2.234475898,333.7300365,22.6,102.5175135,5.209679957,14882.91172,78.92431272,0.877819053,7.137227615,0.4,135936.9278,60.087253708457816,Poor
18-02-2020,2.11920401,316.786686,23.1,87.65158539,4.967074516,14434.30091,67.45303938,0.752479221,7.089655985,6.3,129284.6371,62.65299734581845,Poor
19-02-2020,1.725589991,258.0956736,23.7,39.37372306,4.195370684,13038.73006,40.0,0.38,6.930732102,0.0,110000.0,58.71893900750564,Poor
20-02-2020,2.171013044,325.2637758,24.5,91.76974017,5.017596009,14495.30543,68.45813749,0.767823693,7.107408084,0.0,130069.8937,63.710213300614534,Poor
21-02-2020,2.057450284,308.5874546,23.7,77.07720303,4.777514143,14050.76637,57.08080299,0.643590304,7.060475221,0.7,123475.7918,60.72920884886687,Poor
22-02-2020,2.027616713,304.4738545,23.9,72.42222767,4.696290798,13890.36119,52.80435272,0.598238307,7.047019959,0.0,121059.5996,59.80400277008185,Poor
23-02-2020,2.314126174,347.8149443,24.3,105.7187935,5.215899542,14804.99443,75.4014789,0.85136026,7.160088287,13.8,134452.283,62.29092618903787,Poor
24-02-2020,2.427027521,365.1179446,23.3,118.1730845,5.40544054,15128.84983,83.22685468,0.940447424,7.203700202,7.4,139156.5613,60.219832405572156,Poor
25-02-2020,2.436358634,366.8884282,20.3,118.1899706,5.39799316,15100.07396,82.23422467,0.931620738,7.205871314,0.0,138674.6071,60.71300440134565,Poor
26-02-2020,2.111763719,318.5729159,22.8,78.12708292,4.755888853,13935.47505,52.84387546,0.607429559,7.074459769,0.0,121488.9119,62.34505222848501,Poor
27-02-2020,2.247490237,339.3084165,23.2,93.29444649,4.988205318,14335.51253,62.5673747,0.717648758,7.127165017,52.3,127312.132,66.49875546881148,Poor
28-02-2020,2.405522955,363.3925333,22.9,111.130565,5.262721183,14810.95282,74.17396478,0.84879726,7.188781434,0.0,134243.791,63.67889583442638,Poor
29-02-2020,2.564520047,387.62388,23.4,129.0747536,5.538894611,15289.25205,85.85013167,0.980733725,7.250772764,3.0,141217.0852,60.496444192280585,Poor
01-03-2020,2.303911192,430.2336043,24.7,96.65891023,5.017649671,16006.81762,91.84184785,0.899407971,7.144911355,0.0,141867.4748,67.71346111415141,Poor
02-03-2020,2.393134539,445.9895505,25.9,106.2159513,5.160926576,16287.79545,98.29658142,0.969717556,7.178972944,0.0,145697.8894,66.26465500142099,Poor
03-03-2020,2.239695866,425.3598929,24.7,86.64691102,4.842994085,15743.59318,84.11852275,0.810873833,7.115960327,2.0,137391.5608,66.23797626781072,Poor
04-03-2020,2.252585199,429.6924283,24.3,87.03093508,4.840941068,15764.78356,84.07216054,0.808967533,7.119469998,2.0,137398.1785,66.62341507271248,Poor
05-03-2020,2.685353342,497.0190664,23.2,137.7944645,5.636521917,17213.44603,119.7096515,1.203354786,7.290922767,0.5,158395.4714,61.35146148191602,Poor
