Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Temperature,Turbidity,Nitrate,pH,Rainfall,Total Coliform,WQI,Quality
01-01-2020,3.930835904,352.5667485,10.75216675,5131.339097,62.26606824,26.20586371,11.49495336,1.625667485,9.065833841,0.0,9048.967932,67.48253543266777,Poor
02-01-2020,3.861441249,348.9706556,10.67603288,4994.234591,57.56902645,25.52455318,11.48525898,1.589706556,9.02903051,0.0,9092.340945,67.48122518968155,Poor
03-01-2020,3.934161869,352.4808009,10.7420396,5141.354305,57.75349217,26.26434794,11.56449082,1.624808009,9.063292726,0.0,8964.271452,67.48250411750345,Poor
04-01-2020,4.015845222,356.4395948,10.81703635,5306.392663,59.65442146,27.09371886,11.47826593,1.664395948,9.102044839,0.0,8315.278977,67.48394651125847,Poor
05-01-2020,3.83430174,347.2375958,10.62883554,4944.970029,58.06299347,25.29076652,11.64928714,1.572375958,9.009192683,0.1,8968.565021,67.48059374619251,Poor
06-01-2020,3.828505568,346.8235483,10.6164133,4935.034203,60.05710315,25.24522869,11.19034893,1.568235483,9.00422395,0.1,9563.470968,67.48044288723311,Poor
07-01-2020,4.004071795,355.4782436,10.78538667,5287.814872,57.8942443,27.01325256,11.33134525,1.654782436,9.089946795,0.4,8771.097195,67.4835962412009,Poor
08-01-2020,3.917156009,351.0094976,10.69191319,5115.622721,55.03161747,26.15639037,11.83817888,1.610094976,9.044439624,0.4,8640.193069,67.48196804547109,Poor
09-01-2020,3.787759593,344.417416,10.5559962,4858.460033,57.79042575,24.87465229,11.32024328,1.54417416,8.977703736,0.0,8950.243965,67.47956620855497,Poor
10-01-2020,3.883291695,349.0724924,10.64504677,5051.144621,53.11269825,25.84212618,11.73026719,1.590724924,9.023444308,0.0,8911.698072,67.48126229410478,Poor
11-01-2020,3.777058425,343.6400683,10.53237293,4840.288223,56.70854181,24.79186955,11.52849704,1.536400683,8.968314996,0.0,9155.678386,67.47928298050718,Poor
12-01-2020,3.771229237,343.2286521,10.52014605,4830.22927,56.12323038,24.74557334,11.07158451,1.532286521,8.963401123,0.0,8400.504597,67.47913308026669,Poor
13-01-2020,3.83643963,346.3700544,10.57900352,4962.238288,55.43974666,25.40958901,11.53668042,1.563700544,8.994021031,0.0,8977.42623,67.48027765590614,Poor
14-01-2020,3.61539739,335.1996998,10.35165501,4521.730376,55.52082788,23.21099087,11.3624326,1.451996998,8.8815292,0.0,8915.43167,67.47620771689863,Poor
15-01-2020,3.628758098,335.7504023,10.35875796,4550.01623,50.10444946,23.35633123,11.27140608,1.457504023,8.886254006,0.0,8676.105614,67.47640836635574,Poor
16-01-2020,3.739589673,341.1755927,10.46338216,4773.231224,53.94863743,24.47628581,11.38821324,1.511755927,8.939729988,0.0,8800.957715,67.47838504434161,Poor
17-01-2020,3.689149545,338.5381771,10.40678687,4673.88976,55.71946777,23.98342547,11.41106666,1.485381771,8.912586436,0.0,8988.953878,67.47742409717263,Poor
18-01-2020,3.816518906,344.792249,10.5280551,4930.153762,55.7679741,25.26855869,11.4347791,1.54792249,8.974364514,0.0,8922.745229,67.47970277964002,Poor
19-01-2020,3.689002145,338.3030619,10.39449306,4676.631561,52.05424751,24.00472598,11.50624151,1.483030619,8.908716984,0.0,8299.253322,67.47733843252203,Poor
20-01-2020,3.633334995,335.4074362,10.33283827,4566.794172,58.78470539,23.45928131,11.32976446,1.454074362,8.879012271,0.0,8869.495189,67.47628340603366,Poor
21-01-2020,3.91594304,349.4266841,10.60951808,5133.492319,52.24085155,26.29647719,10.9507796,1.594266841,9.018463721,0.0,8585.51543,67.48139134449464,Poor
22-01-2020,3.741666853,340.6028673,10.42937483,4786.406711,57.60107112,24.56471607,11.10917584,1.506028673,8.929492171,0.0,8608.449669,67.47817637080084,Poor
