Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Temperature ,Turbidity,Total Coliform,WQI,Quality
01-01-2020,1.090266994,177.7465036,9.246989988,2.090266994,2.100783836,0.122820817,7.331671502,0.3,16.90266994,4.384681809,2.140367633,26.85757378197764,Good
02-01-2020,1.075882622,173.5311479,9.211998268,2.075882622,2.083056092,0.119649637,7.301158312,0.3,16.75882622,4.070141687,2.112441291,24.363885047302887,Excellent
03-01-2020,1.089923204,179.2811278,9.262517176,2.089923204,2.10085859,0.120866808,7.341793009,0.7,16.89923204,4.081040672,2.141361691,24.711802596891168,Excellent
04-01-2020,1.105758379,185.6755703,9.318653145,2.105758379,2.120903307,0.112617378,7.386998054,0.7,17.05758379,4.206376249,2.173867867,25.9238229112442,Good
05-01-2020,1.068950383,173.661005,9.217090323,2.068950383,2.075142961,0.118419311,7.30067737,10.2,16.68950383,4.098894107,2.101084041,24.570217090323723,Excellent
06-01-2020,1.067294193,173.9654165,9.221211016,2.067294193,2.073321202,0.122740079,7.302316711,10.2,16.67294193,4.23045432,2.09859992,25.53972986686584,Good
07-01-2020,1.101912974,186.9816506,9.334382025,2.101912974,2.11684191,0.133672828,7.394722277,1.5,17.01912974,4.084890219,2.16866159,25.08957831994036,Good
08-01-2020,1.08403799,181.6403833,9.290294382,2.08403799,2.094744094,0.127532467,7.355970491,1.5,16.8403799,3.892682244,2.133731333,23.432890322256732,Excellent
09-01-2020,1.057669664,173.3414912,9.220946529,2.057669664,2.062028207,0.137827138,7.3,0.0,16.57669664,4.075244343,2.081809752,24.393387518902564,Excellent
10-01-2020,1.07628997,180.8033898,9.286781498,2.07628997,2.085546647,0.109228777,7.348695915,0.0,16.7628997,3.762045524,2.119860555,22.43286066824097,Excellent
11-01-2020,1.054560273,174.1572773,9.231780431,2.054560273,2.058626047,0.124216945,7.300527891,0.0,16.54560273,4.000426643,2.077206233,23.85167175510062,Excellent
12-01-2020,1.052914608,174.5547812,9.237242411,2.052914608,2.05680888,0.116924991,7.30263984,0.0,16.52914608,3.960073028,2.074714615,23.571564688917935,Excellent
13-01-2020,1.065480218,179.9401479,9.285546083,2.065480218,2.072754126,0.137300235,7.340348024,0.0,16.65480218,3.913183921,2.100639949,23.479040365957086,Excellent
14-01-2020,1.020798799,173.0,9.2,2.020798799,2.017138838,0.104769838,7.3,0.0,16.20798799,3.917275529,2.012065396,23.24219949846608,Excellent
15-01-2020,1.023001609,173.0,9.2,2.023001609,2.020127017,0.104252855,7.3,0.0,16.23001609,3.554879936,2.017253236,20.601414360230994,Excellent
16-01-2020,1.044702371,175.7106667,9.256248562,2.044702371,2.047485745,0.107430816,7.307675436,0.0,16.44702371,3.80986593,2.061430681,22.5102577483674,Excellent
17-01-2020,1.034152708,173.0583897,9.236005866,2.034152708,2.034529486,0.091350544,7.3,0.0,16.34152708,3.92663896,2.041100751,23.31045760835003,Excellent
18-01-2020,1.059168996,182.8666097,9.322652578,2.059168996,2.066028637,0.108277709,7.356995558,0.0,16.59168996,3.928601648,2.091895967,23.70137074679401,Excellent
19-01-2020,1.033212248,174.8463697,9.256568304,2.033212248,2.0338094,0.104343832,7.3,0.0,16.33212248,3.679760441,2.040738131,21.511444533020295,Excellent
20-01-2020,1.021629745,173.0,9.233791394,2.021629745,2.019555808,0.112560589,7.3,0.0,16.21629745,4.127210208,2.01832158,24.772006836679296,Excellent
21-01-2020,1.077706736,192.5837266,9.41417405,2.077706736,2.089874356,0.116981649,7.42348959,0.0,16.77706736,3.689718237,2.131216592,22.39997474318541,Excellent
22-01-2020,1.042411469,181.3294059,9.32061741,2.042411469,2.045975287,0.130267681,7.342071862,0.0,16.42411469,4.045843904,2.061359441,24.457091953728227,Excellent
23-01-2020,1.04682652,183.9845166,9.346365552,2.04682652,2.051711757,0.120940756,7.359978513,0.0,16.4682652,3.926508543,2.070915062,23.7058072275456,Excellent
24-01-2020,1.01554611,174.156707,9.265197432,2.01554611,2.012826476,0.103816484,7.3,0.0,16.1554611,3.701062591,2.009071683,21.66664523034595,Excellent
25-01-2020,1.031735119,180.9533533,9.326603936,2.031735119,2.033275482,0.101127164,7.336125653,0.0,16.31735119,4.174732978,2.042158851,25.3570077478907,Good
26-01-2020,1.043439927,186.1903535,9.3747204,2.043439927,2.048116687,0.115335483,7.372390181,0.0,16.43439927,3.570433694,2.066269116,21.19307543355073,Excellent
27-01-2020,1.016817722,178.0223857,9.308014537,2.016817722,2.015046514,0.095606073,7.312877541,0.0,16.16817722,3.982612787,2.013716647,23.803396770051798,Excellent
28-01-2020,1.0459855,189.3900575,9.408833432,2.0459855,2.051711144,0.128308171,7.392878131,0.0,16.459855,3.988653014,2.072735231,24.37602281821668,Excellent
29-01-2020,1.025110945,183.2517146,9.359676189,2.025110945,2.025820123,0.120474692,7.347809064,0.0,16.25110945,3.644303847,2.03166003,21.568933099155316,Excellent
30-01-2020,1.029960654,186.1253205,9.387838614,2.029960654,2.032081638,0.103965182,7.367084726,0.0,16.29960654,4.046952025,2.042024043,24.630407075071354,Excellent
31-01-2020,1.022450232,184.6809883,9.379063487,2.022450232,2.022890135,0.090888039,7.355492009,0.0,16.22450232,3.708623429,2.027658282,22.088389135844327,Excellent
01-02-2020,1.070239177,202.5991912,9.536325224,2.070239177,2.08281993,0.123689405,7.48217753,0.0,16.70239177,3.806690828,2.123881548,23.640097697734944,Excellent
02-02-2020,1.031652715,190.2934048,9.434595383,2.031652715,2.034777494,0.106821769,7.392952214,0.0,16.31652715,3.791484311,2.0473441,22.93971364161748,Excellent
03-02-2020,1.009517659,183.7526588,9.382350253,2.009517659,2.007296292,0.118988422,7.344880951,0.0,16.09517659,3.703177332,2.003699379,21.978575068588324,Excellent
04-02-2020,1.045892537,197.6970803,9.505761218,2.045892537,2.052949426,0.092238678,7.443107908,0.0,16.45892537,3.882973947,2.077064255,23.937803322537892,Excellent
05-02-2020,1.003815436,184.1896398,9.393938302,2.003815436,2.000534448,0.099843483,7.345226139,0.0,16.03815436,3.870440059,1.993514717,23.199695992370174,Excellent
06-02-2020,1.031221516,195.0072828,9.490682725,2.031221516,2.034970259,0.107022362,7.421071382,0.0,16.31221516,3.35312544,2.048920911,19.931158940906084,Excellent
07-02-2020,0.986684396,180.6504119,9.37171103,1.986684396,1.979473826,0.104979586,7.317075509,0.0,15.86684396,3.95495154,1.960429893,23.6295153287422,Excellent
